issue;year;dates;city;country;latitude;longitude
1;1978;;Brighton;United Kingdom;50.822529;-0.137163
2;1979;;Newport-on-Tay;United Kingdom;56.440030;-2.939760
3;1980;;London;United Kingdom;51.507351;-0.127758
4;1981;;London;United Kingdom;51.507351;-0.127758
5;1982;;Copenhagen;Denmark;55.676098;12.568337
6;1983;;Laval;France;48.070469;-0.773600
7;1984;;Frankfurt;Germany;50.1106444;8.6820917
8;1985;;Louvain la Neuve;Belgium;50.6682012;4.6128839
9;1986;;Castellar de la Frontera;Spain;36.2867039;-5.4196952
10;1987;;Saintes;France;45.7460663;-0.6300671
11;1988;;Bradford;United Kingdom;53.7944229;-1.7519186
12;1989;;Maastricht;Netherlands;50.8512438;5.6909768
13;1990;;Oldenburg;Germany;53.1389753;8.2146017
14;1991;;Verona;Italy;45.4424977;10.9857377
15;1992;;Banyoles;Spain;42.1180477;2.7653607
16;1993;;Leeds;United Kingdom;53.7974185;-1.5437941
17;1994;;Hagen;Germany;51.3582945;7.473296
18;1995;;Gothenburg;Sweden;57.7072326;11.9670171
19;1996;;Grenoble;France;45.1875602;5.7357819
20;1997;;Turin;Italy;45.0677551;7.6824892
21;1998;;Edinburgh;United Kingdom;55.9533456;-3.1883749
22;1999;;Grenoble;France;45.1875602;5.7357819
23;2000;;Karlsruhe;Germany;49.0068705;8.4034195
24;2001;;Rotterdam;Netherlands;51.9244424;4.47775
25;2002;;Bremen;Germany;53.0758196;8.8071646
26;2003;;Svendborg;Denmark;55.0636926;10.6085377
27;2004;;Carvin;France;50.4934145;2.9577519
28;2005;;Ptuj;Slovenia;46.4198096;15.8717378
29;2006;;Millstreet;Ireland;52.060231;-9.0640113
30;2007;;Athens;Greece;37.9755648;23.7348324
31;2008;;Karlsruhe;Germany;49.0068705;8.4034195
32;2009;;Vitoria-Gasteiz;Spain;42.8465088;-2.6724025
33;2010;;Joensuu;Finland;62.6005753;29.7622128
34;2011;;Munich;Germany;48.1371079;11.5753822
35;2012;;Lublin;Poland;51.250559;22.5701022
36;2013;;Toulouse;France;43.6044622;1.4442469
37;2014;;Millstreet;Ireland;52.060231;-9.0640113
38;2015;;Bruneck;Italy;46.7963194;11.9355121
39;2016;;Almere;Netherlands;52.3705038;5.2185859
40;2017;;Lublin;Poland;51.250559;22.5701022
41;2018;;Azores;Portugal;37.8085564;-25.4731374
42;2019;;Newark;United Kingdom;53.0761693;-0.8092339
43;2021;;Hanko;Finland;59.8228008;22.9695005
44;2022;;Tres Cantos;Spain;40.6065826;-3.7065333
45;2023;;Lublin;Poland;51.250559;22.5701022
46;2024;;Ovar;Portugal;40.8594819;-8.6252174
47;2025;;Arnhem;Netherlands;51.9796943;5.9116926
48;2026;;Ptuj;Slovenia;46.4198096;15.8717378
49;2027;;Azores;Portugal;37.8085564;-25.4731374
